FAILED python/test/unit/language/test_core.py::test_scan2d[cummax-int32-shape616-0-True-16] - triton.runtime.errors.OutOfResources: out of resource: threads, Required: 512, Hardware limit: 384. Reducing block sizes or `num_stages` may help.
FAILED python/test/unit/language/test_core.py::test_scan2d[cummax-int32-shape622-0-True-16] - triton.runtime.errors.OutOfResources: out of resource: threads, Required: 512, Hardware limit: 448. Reducing block sizes or `num_stages` may help.
FAILED python/test/unit/language/test_core.py::test_scan2d[cummax-float32-shape784-0-True-16] - triton.runtime.errors.OutOfResources: out of resource: threads, Required: 512, Hardware limit: 384. Reducing block sizes or `num_stages` may help.
FAILED python/test/unit/language/test_core.py::test_scan2d[cummax-float32-shape790-0-True-16] - triton.runtime.errors.OutOfResources: out of resource: threads, Required: 512, Hardware limit: 448. Reducing block sizes or `num_stages` may help.
FAILED python/test/unit/language/test_core.py::test_scan2d[cummax-int32-shape658-0-False-16] - triton.runtime.errors.OutOfResources: out of resource: threads, Required: 512, Hardware limit: 384. Reducing block sizes or `num_stages` may help.
FAILED python/test/unit/language/test_core.py::test_scan2d[cummax-int32-shape664-0-False-16] - triton.runtime.errors.OutOfResources: out of resource: threads, Required: 512, Hardware limit: 448. Reducing block sizes or `num_stages` may help.
FAILED python/test/unit/language/test_core.py::test_scan2d[cummax-float32-shape826-0-False-16] - triton.runtime.errors.OutOfResources: out of resource: threads, Required: 512, Hardware limit: 384. Reducing block sizes or `num_stages` may help.
FAILED python/test/unit/language/test_core.py::test_scan2d[cummax-float32-shape832-0-False-16] - triton.runtime.errors.OutOfResources: out of resource: threads, Required: 512, Hardware limit: 448. Reducing block sizes or `num_stages` may help.
FAILED python/test/unit/language/test_core.py::test_dot[1-32-32-128-16-True-True-none-ieee-int8-int8-1-None0] - triton.runtime.errors.OutOfResources: out of resource: threads, Required: 512, Hardware limit: 384. Reducing block sizes or `num_stages` may help.
FAILED python/test/unit/language/test_core.py::test_dot[1-32-32-128-16-True-True-none-ieee-int8-int8-1-None1] - triton.runtime.errors.OutOfResources: out of resource: threads, Required: 512, Hardware limit: 384. Reducing block sizes or `num_stages` may help.
FAILED python/test/unit/language/test_core.py::test_dot[1-32-32-128-16-True-False-none-ieee-int8-int8-1-None0] - triton.runtime.errors.OutOfResources: out of resource: threads, Required: 512, Hardware limit: 384. Reducing block sizes or `num_stages` may help.
FAILED python/test/unit/language/test_core.py::test_dot[1-32-32-128-16-True-False-none-ieee-int8-int8-1-None1] - triton.runtime.errors.OutOfResources: out of resource: threads, Required: 512, Hardware limit: 384. Reducing block sizes or `num_stages` may help.
